avg_queue_length_mean,avg_queue_length_std,avg_queue_length_min,avg_queue_length_max,total_throughput_mean,total_throughput_std,total_throughput_min,total_throughput_max,throughput_per_step_mean,throughput_per_step_std,throughput_per_step_min,throughput_per_step_max,total_delay_seconds_mean,total_delay_seconds_std,total_delay_seconds_min,total_delay_seconds_max,avg_vehicle_delay_mean,avg_vehicle_delay_std,avg_vehicle_delay_min,avg_vehicle_delay_max,queue_imbalance_mean,queue_imbalance_std,queue_imbalance_min,queue_imbalance_max,max_queue_reached_mean,max_queue_reached_std,max_queue_reached_min,max_queue_reached_max,episode_reward_mean,episode_reward_std,episode_reward_min,episode_reward_max,avg_queue_per_step_mean,avg_queue_per_step_std,avg_queue_per_step_min,avg_queue_per_step_max,queue_std_mean,queue_std_std,queue_std_min,queue_std_max,arrival_rates,hour,n_episodes
75.00733333333334,5.151213067608564,69.48666666666666,82.98416666666667,260.2,39.22448215082004,182,284,0.07227777777777777,0.010895689486338902,0.050555555555555555,0.07888888888888888,270026.4,18544.36704339083,250152.0,298743.0,1079.763245254406,283.099369430665,895.9574468085107,1641.4450549450548,25.0,0.0,25.0,25.0,101.8,0.7483314773547882,101,103,-2670.139917181562,230.3122923720397,-3069.4526651188003,-2442.2486192396577,75.00733333333334,5.151213067608564,69.48666666666666,82.98416666666667,31.049669340552647,3.075455810300382,27.314980011427636,34.857692280343386,"{'north': np.float64(0.036734693877551), 'south': np.float64(0.036734693877551), 'east': np.float64(0.0244897959183673), 'west': np.float64(0.0244897959183673)}",0,5
65.82422222222223,6.014479653816517,58.74027777777778,74.10916666666667,156.0,23.03909720453473,123,180,0.043333333333333335,0.006399749223481872,0.034166666666666665,0.05,236967.2,21652.12675373946,211465.0,266793.0,1576.8618444652463,392.7205574822814,1174.8055555555557,2169.048780487805,25.0,0.0,25.0,25.0,101.0,0.0,101,101,-2345.3238608772153,267.9749317196311,-2693.1167687561683,-1945.095017544513,65.82422222222223,6.014479653816517,58.74027777777778,74.10916666666667,30.448044802488916,1.515048196910303,28.940897467409954,33.02828117432463,"{'north': np.float64(0.0255102040816326), 'south': np.float64(0.0255102040816326), 'east': np.float64(0.0170068027210884), 'west': np.float64(0.0170068027210884)}",1,5
16.851277777777774,3.7014611545999427,12.276111111111112,22.545277777777777,23.8,2.9257477676655586,20,29,0.006611111111111111,0.0008127077132404327,0.005555555555555556,0.008055555555555555,60664.6,13325.260156559796,44194.0,81163.0,2525.076856571714,306.2576925472708,2096.608695652174,2798.7241379310344,8.083327774973075,1.4610996141087935,6.339361166552983,9.9498743710662,31.2,5.192301994298868,25,38,-364.75086782222877,78.9058098035129,-483.88404111924774,-267.9780249120876,16.851277777777774,3.7014611545999427,12.276111111111112,22.545277777777777,7.835013882606447,1.9941336277726358,6.009202793206146,10.881439596883185,"{'north': np.float64(0.0037414965986394), 'south': np.float64(0.0037414965986394), 'east': np.float64(0.0024943310657596), 'west': np.float64(0.0024943310657596)}",2,5
7.973999999999999,2.3949051735138607,4.470277777777778,11.404166666666667,15.6,4.715930449020639,11,23,0.004333333333333333,0.0013099806802835108,0.0030555555555555557,0.006388888888888889,28706.4,8621.6586246499,16093.0,41055.0,1934.4018811851765,673.0962159631421,1234.304347826087,3133.2727272727275,3.643345691232213,0.7423154142139756,2.48746859276655,4.5,13.0,2.0,10,16,-174.21698655945676,54.40528578355352,-251.83122754182918,-96.49901225964499,7.973999999999999,2.3949051735138607,4.470277777777778,11.404166666666667,2.537829733433377,0.6318017521169252,1.4881884494616637,3.2026064688694498,"{'north': np.float64(0.0017006802721088), 'south': np.float64(0.0017006802721088), 'east': np.float64(0.0011337868480725), 'west': np.float64(0.0011337868480725)}",3,5
22.53922222222222,4.860674149884769,14.815,28.4025,43.2,3.867815921162743,38,49,0.012,0.001074393311434095,0.010555555555555556,0.01361111111111111,81141.2,17498.42693958517,53334.0,102249.0,1922.9445822934854,557.7010685038135,1159.4347826086957,2690.7631578947367,10.725972212680054,2.9096426056846534,7.14142842854285,14.2828568570857,41.8,10.906878563548783,28,56,-484.20229763534627,105.12066851703959,-609.7295777071487,-318.416420474064,22.53922222222222,4.860674149884769,14.815,28.4025,10.37629509654091,3.290175214159795,6.105434509971878,14.526793038114855,"{'north': np.float64(0.0061224489795918), 'south': np.float64(0.0061224489795918), 'east': np.float64(0.0040816326530612), 'west': np.float64(0.0040816326530612)}",4,5
71.83616666666667,3.7455838251677163,66.37083333333334,76.06805555555556,203.0,32.71085446759225,157,245,0.05638888888888889,0.00908634846322007,0.043611111111111114,0.06805555555555555,258610.2,13484.10177060378,238935.0,273845.0,1318.5586700763563,283.23386079195353,1054.0326530612244,1737.6433121019109,25.0,0.0,25.0,25.0,102.0,0.0,102,102,-2606.266214572029,231.06745986874037,-2893.0226810438708,-2373.7210504591385,71.83616666666667,3.7455838251677163,66.37083333333334,76.06805555555556,31.536455696701598,1.6894773300105208,30.02859254213771,34.55028080387398,"{'north': np.float64(0.0316326530612244), 'south': np.float64(0.0316326530612244), 'east': np.float64(0.0210884353741496), 'west': np.float64(0.0210884353741496)}",5,5
89.04905555555555,1.5174295252819916,86.79583333333333,90.7725,442.8,87.58401680672107,360,565,0.12299999999999997,0.02432889355742252,0.1,0.15694444444444444,320576.6,5462.74629101517,312465.0,326781.0,753.2408320374589,148.22358869241208,553.0353982300885,906.05,24.950505024742426,0.09898995051514987,24.752525123712125,25.0,102.8,0.7483314773547882,102,104,-3405.8013483546215,133.0391397485909,-3544.5749994976636,-3208.691558764407,89.04905555555555,1.5174295252819916,86.79583333333333,90.7725,23.03691862043842,1.5258853521852458,21.218458143140897,25.133581660466405,"{'north': np.float64(0.0528571428571428), 'south': np.float64(0.0981632653061224), 'east': np.float64(0.0503401360544217), 'west': np.float64(0.0503401360544217)}",6,5
93.63388888888889,0.3570435443928302,93.06305555555555,94.06111111111112,1147.0,29.414282245195107,1115,1201,0.3186111111111111,0.008170633956998647,0.30972222222222223,0.33361111111111114,337082.0,1285.356759814177,335027.0,338620.0,294.086281708499,8.026828496706795,278.95670274771027,302.3121076233184,25.0,0.0,25.0,25.0,104.6,0.8,104,106,-3529.5556886751715,28.898406263395735,-3560.199052853247,-3480.805747153779,93.63388888888889,0.3570435443928302,93.06305555555555,94.06111111111112,19.475251676810828,0.5416530438746414,18.763572122912212,20.394366640412745,"{'north': np.float64(0.1071428571428571), 'south': np.float64(0.1989795918367347), 'east': np.float64(0.1020408163265306), 'west': np.float64(0.1020408163265306)}",7,5
96.7082222222222,0.2546800583060343,96.36083333333333,97.11944444444444,1576.2,284.65726760439475,1206,1846,0.4378333333333333,0.07907146322344298,0.335,0.5127777777777778,348149.6,916.8482099017262,346899.0,349630.0,229.00405347978918,45.00251806871191,187.9192849404117,288.57545605306797,24.851515074227272,0.12123743421273699,24.752525123712125,25.0,104.8,0.9797958971132712,103,106,-3644.869073100391,51.884384844244515,-3709.4945588018845,-3599.9885008232377,96.7082222222222,0.2546800583060343,96.36083333333333,97.11944444444444,14.605900766362566,0.8417573809326624,13.298147729089616,15.81003792865645,"{'north': np.float64(0.1735714285714285), 'south': np.float64(0.3223469387755102), 'east': np.float64(0.1653061224489796), 'west': np.float64(0.1653061224489796)}",8,5
97.91455555555555,0.1982582802281192,97.67361111111111,98.23027777777777,1971.8,340.6637051404214,1503,2289,0.5477222222222222,0.0946288069834504,0.4175,0.6358333333333334,352492.4,713.7298088212373,351625.0,353629.0,184.75938661325637,34.74488188304331,153.68225524475525,234.84031936127744,24.950505024742426,0.09898995051514987,24.752525123712125,25.0,106.8,1.5999999999999999,105,109,-3652.3593327990593,56.07022983216469,-3726.326663927121,-3600.256954700017,97.91455555555555,0.1982582802281192,97.67361111111111,98.23027777777777,12.618234876459278,1.2586974543229537,10.951426055034517,13.879291617459053,"{'north': np.float64(0.2216666666666666), 'south': np.float64(0.4116666666666667), 'east': np.float64(0.2111111111111111), 'west': np.float64(0.2111111111111111)}",9,5
